record_id,Scorer Name,Goal Orientation,Confidence Score for Goal Orientation,Engagement with Evidence,Confidence Score for Engagement with Evidence,Collaborative Decision-Making,Confidence Score for Collaborative Decision-Making,Strategic Planning,Confidence Score for Strategic Planning,Cultural Responsiveness,Parent/Community Engagement,Academic Achievement,Candidate Experience/Expertise,Evaluation,School Culture Fit,call_number,prompt_name,Confidence Score for Cultural Responsiveness,Confidence Score for Parent/Community Engagement,Confidence Score for Academic Achievement,Confidence Score for Candidate Experience/Expertise,Confidence Score for Evaluation,Confidence Score for School Culture Fit,codebook_type
546578,gpt-4.1-mini,3,0.9,1,0.7,1,0.6,1,0.7,0,0,0,0,0,1,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
242085,gpt-4.1-mini,4,0.95,1,0.75,1,0.65,3,0.85,0,0,1,1,0,0,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
218810,gpt-4.1-mini,2,0.85,1,0.65,2,0.65,2,0.7,0,0,0,1,0,0,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
632387,gpt-4.1-mini,2,0.8,1,0.6,2,0.7,2,0.65,0,0,0,0,0,0,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
545047,gpt-4.1-mini,3,0.9,1,0.6,3,0.85,2,0.7,0,0,0,1,0,0,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
244029,gpt-4.1-mini,4,0.95,4,0.95,1,0.6,4,0.95,0,0,1,0,0,0,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
555531,gpt-4.1-mini,3,0.9,1,0.65,1,0.65,1,0.6,0,0,0,0,0,0,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
207524,gpt-4.1-mini,3,0.9,1,0.7,1,0.6,3,0.85,0,0,0,1,0,0,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
717614,gpt-4.1-mini,2,0.85,2,0.8,2,0.75,2,0.8,0,0,0,0,0,0,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
247482,gpt-4.1-mini,4,0.9,3,0.9,3,0.9,3,0.9,0,1,1,0,1,1,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
573597,gpt-4.1-mini,3,0.85,3,0.8,2,0.7,3,0.8,0,0,1,0,0,1,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
248731,gpt-4.1-mini,2,0.8,3,0.85,3,0.9,3,0.85,0,0,0,0,0,1,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
564167,gpt-4.1-mini,3,0.9,4,0.9,3,0.85,4,0.9,1,0,1,1,1,1,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
282284,gpt-4.1-mini,4,0.9,2,0.8,2,0.8,3,0.85,0,0,0,0,0,1,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
503131,gpt-4.1-mini,2,0.8,3,0.85,1,0.75,2,0.75,0,0,0,0,0,1,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
613961,gpt-4.1-mini,4,0.95,3,0.9,2,0.85,4,0.9,0,0,1,0,0,1,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
240687,gpt-4.1-mini,2,0.9,3,0.9,1,0.7,3,0.85,0,0,0,1,1,0,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
581720,gpt-4.1-mini,4,0.95,4,0.95,4,0.95,4,0.95,1,0,1,0,1,1,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
274347,gpt-4.1-mini,4,0.9,4,0.9,4,0.85,4,0.9,0,0,1,0,0,0,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
735055,gpt-4.1-mini,3,0.9,3,0.85,3,0.8,3,0.85,0,0,0,1,0,1,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
551252,gpt-4.1-mini,3,0.85,3,0.85,4,0.9,4,0.9,0,1,0,1,1,1,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
264478,gpt-4.1-mini,3,0.9,2,0.7,4,0.9,3,0.85,0,1,0,0,0,1,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
586617,gpt-4.1-mini,3,0.9,3,0.85,4,0.9,4,0.9,0,0,1,1,0,0,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
601728,gpt-4.1-mini,2,0.8,3,0.8,1,0.6,2,0.75,0,0,0,0,0,0,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
505173,gpt-4.1-mini,4,0.95,3,0.9,4,0.9,4,0.9,0,0,1,1,1,1,0,Testing Prompt: 0.3470672295798579,0.8,0.8,0.9,0.9,0.9,0.9,examples
215108,gpt-4.1-mini,4,0.95,4,0.95,4,0.9,4,0.95,1,1,1,0,0,1,0,Testing Prompt: 0.3470672295798579,0.9,0.9,0.9,0.8,0.8,0.9,examples
293411,gpt-4.1-mini,2,0.85,2,0.8,2,0.8,1,0.7,1,0,0,0,0,1,0,Testing Prompt: 0.3470672295798579,0.9,0.8,0.8,0.8,0.8,0.85,examples
208682,gpt-4.1-mini,3,0.9,3,0.9,4,0.9,3,0.9,0,0,1,1,1,0,0,Testing Prompt: 0.3470672295798579,0.85,0.8,0.9,0.9,0.9,0.8,examples
576254,gpt-4.1-mini,1,0.8,3,0.85,1,0.75,2,0.8,0,0,0,0,0,0,0,Testing Prompt: 0.3470672295798579,0.75,0.75,0.75,0.75,0.75,0.75,examples
207845,gpt-4.1-mini,4,0.9,3,0.9,2,0.8,3,0.85,1,0,1,0,0,1,0,Testing Prompt: 0.3470672295798579,0.9,0.8,0.9,0.75,0.75,0.85,examples
534553,gpt-4.1-mini,3,0.9,3,0.9,1,0.7,3,0.9,0,0,1,0,0,1,0,Testing Prompt: 0.3470672295798579,0.75,0.75,0.9,0.8,0.75,0.85,examples
704786,gpt-4.1-mini,3,0.9,4,0.95,1,0.7,3,0.9,0,0,1,1,0,0,0,Testing Prompt: 0.3470672295798579,0.75,0.75,0.9,0.9,0.75,0.75,examples
546868,gpt-4.1-mini,3,0.9,3,0.85,2,0.75,3,0.85,0,0,0,0,0,0,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
630563,gpt-4.1-mini,2,0.8,2,0.7,1,0.7,2,0.7,0,0,0,0,0,1,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
506571,gpt-4.1-mini,3,0.85,3,0.8,1,0.6,3,0.8,0,0,1,1,0,0,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
628747,gpt-4.1-mini,3,0.85,2,0.7,1,0.7,2,0.7,0,0,0,0,0,1,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
550903,gpt-4.1-mini,4,0.95,4,0.95,4,0.9,4,0.95,0,0,1,0,1,0,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
529141,gpt-4.1-mini,2,0.75,1,0.7,1,0.7,1,0.6,0,0,0,0,0,0,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
704896,gpt-4.1-mini,3,0.85,1,0.6,1,0.6,3,0.75,0,0,0,1,0,0,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
226773,gpt-4.1-mini,4,0.95,3,0.85,4,0.9,4,0.9,0,0,0,0,1,1,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
225646,gpt-4.1-mini,2,0.85,2,0.8,3,0.85,2,0.8,0,0,0,1,0,1,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
613126,gpt-4.1-mini,4,0.95,4,0.95,4,0.95,4,0.95,0,1,1,0,1,1,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
600843,gpt-4.1-mini,2,0.85,1,0.7,3,0.85,2,0.75,0,1,0,1,0,0,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
257325,gpt-4.1-mini,2,0.85,3,0.9,3,0.9,2,0.8,0,0,0,0,0,1,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
614816,gpt-4.1-mini,4,0.95,3,0.85,4,0.95,4,0.95,0,0,0,1,1,0,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
263864,gpt-4.1-mini,4,0.9,3,0.9,3,0.85,4,0.9,0,0,1,0,0,0,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
211283,gpt-4.1-mini,3,0.9,3,0.9,3,0.9,3,0.9,0,1,0,0,0,0,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
238271,gpt-4.1-mini,3,0.9,3,0.9,3,0.9,3,0.85,0,1,1,0,0,1,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
211179,gpt-4.1-mini,2,0.9,1,0.9,1,0.8,2,0.8,0,0,0,1,0,0,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
615578,gpt-4.1-mini,4,0.95,4,0.95,4,0.95,4,0.95,1,0,1,1,1,1,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
640700,gpt-4.1-mini,3,0.9,3,0.9,1,0.8,3,0.85,0,0,1,1,0,0,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
525710,gpt-4.1-mini,3,0.9,4,0.95,4,0.9,3,0.9,0,0,1,1,1,1,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
225581,gpt-4.1-mini,4,0.95,4,0.9,4,0.9,4,0.9,1,0,1,0,0,1,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
558582,gpt-4.1-mini,2,0.85,1,0.8,2,0.7,1,0.7,0,0,0,0,0,0,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
528543,gpt-4.1-mini,3,0.9,3,0.9,2,0.7,3,0.85,0,0,0,0,0,1,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
601747,gpt-4.1-mini,1,0.85,1,0.8,1,0.8,1,0.7,0,0,0,0,0,0,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
700128,gpt-4.1-mini,2,0.9,2,0.85,4,0.9,1,0.8,0,0,0,0,0,1,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
543094,gpt-4.1-mini,3,0.9,3,0.9,3,0.9,2,0.85,0,0,1,0,0,0,0,Testing Prompt: 0.3470672295798579,,,,,,,examples
