record_id,Scorer Name,Goal Orientation,Confidence Score for Goal Orientation,Engagement with Evidence,Confidence Score for Engagement with Evidence,Collaborative Decision-Making,Confidence Score for Collaborative Decision-Making,Strategic Planning,Confidence Score for Strategic Planning,Cultural Responsiveness,Parent/Community Engagement,Academic Achievement,Candidate Experience/Expertise,Evaluation,School Culture Fit,call_number,prompt_name,Confidence Score for Cultural Responsiveness,Confidence Score for Parent/Community Engagement,Confidence Score for Academic Achievement,Confidence Score for Candidate Experience/Expertise,Confidence Score for Evaluation,Confidence Score for School Culture Fit,codebook_type
561983,gpt-4.1-mini,3,0.9,3,0.85,2,0.8,3,0.85,1,0,1,1,1,1,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
545047,gpt-4.1-mini,2,0.75,2,0.8,3,0.8,2,0.7,0,0,0,1,0,0,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
550903,gpt-4.1-mini,4,0.95,3,0.9,4,0.9,4,0.95,0,0,1,1,1,0,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
257325,gpt-4.1-mini,2,0.75,3,0.8,4,0.9,2,0.7,0,0,0,0,0,1,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
580333,gpt-4.1-mini,2,0.75,1,0.7,2,0.75,2,0.7,0,1,0,0,0,1,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
601728,gpt-4.1-mini,2,0.7,2,0.75,1,0.7,2,0.7,0,0,1,0,0,0,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
628747,gpt-4.1-mini,3,0.9,2,0.7,2,0.75,2,0.75,0,0,0,0,0,0,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
200051,gpt-4.1-mini,4,0.9,3,0.85,1,0.7,4,0.9,0,0,1,1,0,1,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
590085,gpt-4.1-mini,3,0.9,3,0.85,1,0.6,3,0.9,0,0,1,1,1,1,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
248235,gpt-4.1-mini,4,0.95,4,0.95,4,0.9,4,0.95,0,0,1,0,1,1,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
591948,gpt-4.1-mini,2,0.7,3,0.85,2,0.6,2,0.7,0,0,0,0,0,0,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
184927,gpt-4.1-mini,4,0.95,4,0.9,3,0.8,4,0.9,0,0,1,1,0,0,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
225646,gpt-4.1-mini,2,0.75,2,0.6,1,0.5,2,0.7,0,0,1,1,0,1,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
632387,gpt-4.1-mini,2,0.7,2,0.6,1,0.5,2,0.7,0,0,0,0,0,0,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
291285,gpt-4.1-mini,4,0.9,4,0.9,4,0.85,4,0.9,0,0,1,0,0,0,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
588075,gpt-4.1-mini,2,0.75,3,0.75,3,0.7,3,0.8,0,0,0,0,0,0,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
551252,gpt-4.1-mini,3,0.85,2,0.7,4,0.9,3,0.8,1,1,1,1,1,1,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
505194,gpt-4.1-mini,3,0.8,3,0.85,3,0.85,3,0.8,0,0,0,1,0,0,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
217052,gpt-4.1-mini,2,0.7,1,0.6,1,0.7,1,0.65,0,1,0,0,0,0,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
700128,gpt-4.1-mini,2,0.75,1,0.6,3,0.8,2,0.7,0,0,0,0,0,1,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
217400,gpt-4.1-mini,3,0.8,1,0.6,1,0.6,2,0.7,0,0,0,1,0,0,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
555531,gpt-4.1-mini,2,0.7,3,0.8,2,0.7,2,0.7,0,0,0,1,1,0,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
216965,gpt-4.1-mini,4,0.9,4,0.9,4,0.9,4,0.9,0,1,1,1,0,0,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
641013,gpt-4.1-mini,3,0.8,3,0.85,2,0.75,3,0.8,0,0,1,1,0,0,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
534553,gpt-4.1-mini,2,0.9,2,0.85,1,0.8,2,0.85,0,0,1,1,0,0,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
240687,gpt-4.1-mini,1,0.9,2,0.9,3,0.9,2,0.85,0,0,0,0,0,0,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
512243,gpt-4.1-mini,2,0.9,2,0.8,3,0.85,2,0.85,0,1,0,0,0,0,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
575601,gpt-4.1-mini,3,0.9,3,0.85,4,0.9,3,0.9,0,0,1,0,0,0,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
525710,gpt-4.1-mini,4,0.95,4,0.95,3,0.9,4,0.95,0,0,1,1,1,1,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
581720,gpt-4.1-mini,4,0.95,4,0.95,4,0.9,4,0.95,1,0,1,0,0,1,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
558582,gpt-4.1-mini,1,0.8,1,0.75,3,0.85,1,0.8,0,0,0,0,0,0,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
546868,gpt-4.1-mini,3,0.9,3,0.9,4,0.9,3,0.9,0,0,0,0,0,0,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
704786,gpt-4.1-mini,2,0.85,3,0.9,1,0.6,2,0.8,0,0,1,1,0,0,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
557524,gpt-4.1-mini,2,0.8,1,0.7,3,0.85,1,0.7,0,0,0,0,0,0,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
556668,gpt-4.1-mini,3,0.9,1,0.75,4,0.9,3,0.85,0,0,0,0,1,1,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
242085,gpt-4.1-mini,3,0.95,1,0.75,1,0.65,3,0.9,0,0,0,1,1,1,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
530371,gpt-4.1-mini,4,0.95,4,0.95,1,0.7,4,0.95,0,0,1,1,0,1,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
564167,gpt-4.1-mini,3,0.92,3,0.85,2,0.75,3,0.9,1,0,1,1,1,1,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
511739,gpt-4.1-mini,1,0.75,1,0.65,1,0.6,1,0.6,0,0,0,0,0,1,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
247781,gpt-4.1-mini,3,0.9,3,0.85,3,0.85,3,0.85,0,0,0,0,0,0,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
601747,gpt-4.1-mini,2,0.85,1,0.9,1,0.8,2,0.75,0,0,0,0,0,0,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
244029,gpt-4.1-mini,4,0.95,4,0.95,3,0.85,4,0.9,0,0,1,1,1,0,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
607920,gpt-4.1-mini,2,0.85,2,0.8,1,0.7,2,0.75,0,0,0,0,0,1,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
543229,gpt-4.1-mini,4,0.95,3,0.9,3,0.9,4,0.9,0,0,0,1,0,0,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
584423,gpt-4.1-mini,3,0.85,2,0.8,3,0.85,2,0.75,0,0,0,0,0,1,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
586617,gpt-4.1-mini,4,0.95,3,0.9,4,0.9,4,0.9,0,0,1,1,1,0,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
644531,gpt-4.1-mini,4,0.9,3,0.9,4,0.9,4,0.9,0,0,0,0,0,1,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
211283,gpt-4.1-mini,4,0.95,4,0.95,4,0.9,4,0.95,0,1,1,1,1,1,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
266177,gpt-4.1-mini,3,0.85,2,0.75,3,0.8,3,0.8,0,0,0,0,0,1,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
249730,gpt-4.1-mini,2,0.8,3,0.85,1,0.7,2,0.7,0,0,1,0,0,0,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
225581,gpt-4.1-mini,4,0.95,4,0.95,2,0.75,4,0.9,1,0,1,0,0,0,0,Testing Prompt: 0.9843232575857135,,,,,,,zero-shot
