record_id,Scorer Name,Goal Orientation,Confidence Score for Goal Orientation,Engagement with Evidence,Confidence Score for Engagement with Evidence,Collaborative Decision-Making,Confidence Score for Collaborative Decision-Making,Strategic Planning,Confidence Score for Strategic Planning,Cultural Responsiveness,Confidence Score for Cultural Responsiveness,Parent/Community Engagement,Confidence Score for Parent/Community Engagement,Academic Achievement,Confidence Score for Academic Achievement,Candidate Experience/Expertise,Confidence Score for Candidate Experience/Expertise,Evaluation,Confidence Score for Evaluation,School Culture Fit,Confidence Score for School Culture Fit,call_number,prompt_name,codebook_type
529141,gpt-5,2,0.63,1,0.92,3,0.78,2,0.62,0,0.98,0,0.98,0,0.98,0,0.98,0,0.98,0,0.98,0,Testing Prompt: 0.4748943880604638,zero-shot
211283,gpt-5,2,0.7,3,0.76,3,0.74,3,0.82,0,0.98,0,0.98,0,0.9,0,0.95,0,0.9,0,0.86,0,Testing Prompt: 0.4748943880604638,zero-shot
573597,gpt-5,3,0.81,3,0.84,1,0.93,4,0.78,0,0.98,0,0.98,1,0.9,0,0.92,1,0.93,0,0.86,0,Testing Prompt: 0.4748943880604638,zero-shot
263413,gpt-5,4,0.9,4,0.92,4,0.86,4,0.9,0,0.95,0,0.98,1,0.94,1,0.88,1,0.92,0,0.95,0,Testing Prompt: 0.4748943880604638,zero-shot
207845,gpt-5,2,0.64,3,0.78,3,0.76,2,0.68,1,0.9,0,0.98,0,0.86,1,0.86,1,0.82,0,0.78,0,Testing Prompt: 0.4748943880604638,zero-shot
207524,gpt-5,3,0.83,4,0.86,3,0.78,3,0.8,0,0.98,0,0.98,1,0.88,0,0.95,1,0.9,0,0.98,0,Testing Prompt: 0.4748943880604638,zero-shot
564167,gpt-5,3,0.82,4,0.85,1,0.92,4,0.86,1,0.82,0,0.98,1,0.9,1,0.9,1,0.9,1,0.88,0,Testing Prompt: 0.4748943880604638,zero-shot
640700,gpt-5,4,0.86,4,0.88,1,0.92,4,0.86,0,0.98,0,0.98,1,0.92,1,0.88,0,0.95,0,0.98,0,Testing Prompt: 0.4748943880604638,zero-shot
266177,gpt-5,2,0.68,1,0.62,4,0.78,2,0.66,0,0.9,0,0.88,0,0.86,0,0.9,0,0.9,0,0.85,0,Testing Prompt: 0.4748943880604638,zero-shot
615578,gpt-5,4,0.86,3,0.78,3,0.84,3,0.82,1,0.88,0,0.95,1,0.92,1,0.9,1,0.87,1,0.93,0,Testing Prompt: 0.4748943880604638,zero-shot
630563,gpt-5,2,0.77,3,0.8,3,0.83,2,0.72,0,0.93,0,0.94,0,0.92,0,0.95,0,0.95,0,0.88,0,Testing Prompt: 0.4748943880604638,zero-shot
195235,gpt-5,3,0.73,2,0.7,4,0.8,2,0.7,0,0.95,0,0.96,1,0.86,0,0.95,0,0.95,0,0.88,0,Testing Prompt: 0.4748943880604638,zero-shot
188529,gpt-5,2,0.74,2,0.74,1,0.9,2,0.78,0,0.96,0,0.96,1,0.8,0,0.93,1,0.84,0,0.94,0,Testing Prompt: 0.4748943880604638,zero-shot
232366,gpt-5,2,0.72,3,0.78,1,0.93,2,0.74,0,0.96,0,0.97,1,0.82,0,0.94,0,0.95,0,0.94,0,Testing Prompt: 0.4748943880604638,zero-shot
274347,gpt-5,3,0.8,4,0.88,4,0.9,3,0.82,0,0.95,0,0.96,1,0.9,1,0.78,0,0.93,0,0.92,0,Testing Prompt: 0.4748943880604638,zero-shot
248731,gpt-5,3,0.7,2,0.72,4,0.86,3,0.74,0,0.95,0,0.95,1,0.82,0,0.93,1,0.84,1,0.85,0,Testing Prompt: 0.4748943880604638,zero-shot
556668,gpt-5,2,0.72,1,0.84,4,0.83,2,0.69,0,0.95,0,0.96,1,0.62,0,0.9,1,0.93,1,0.92,0,Testing Prompt: 0.4748943880604638,zero-shot
717614,gpt-5,2,0.78,2,0.68,3,0.77,2,0.67,0,0.96,0,0.97,0,0.95,0,0.92,0,0.94,0,0.95,0,Testing Prompt: 0.4748943880604638,zero-shot
244029,gpt-5,3,0.74,4,0.88,4,0.86,4,0.82,0,0.97,0,0.97,1,0.93,1,0.8,1,0.9,0,0.93,0,Testing Prompt: 0.4748943880604638,zero-shot
700128,gpt-5,2,0.7,3,0.77,3,0.8,1,0.79,0,0.96,0,0.97,0,0.94,0,0.95,0,0.95,0,0.89,0,Testing Prompt: 0.4748943880604638,zero-shot
172253,gpt-5,2,0.74,3,0.76,4,0.86,1,0.83,0,0.97,0,0.97,0,0.95,0,0.95,0,0.93,0,0.9,0,Testing Prompt: 0.4748943880604638,zero-shot
216965,gpt-5,2,0.66,4,0.85,3,0.75,3,0.78,0,0.95,1,0.76,0,0.9,0,0.92,0,0.91,1,0.82,0,Testing Prompt: 0.4748943880604638,zero-shot
218810,gpt-5,2,0.8,1,0.92,4,0.79,2,0.73,0,0.97,0,0.97,1,0.86,1,0.9,0,0.93,0,0.94,0,Testing Prompt: 0.4748943880604638,zero-shot
643006,gpt-5,3,0.78,3,0.74,3,0.8,4,0.81,0,0.96,0,0.97,1,0.9,0,0.93,1,0.88,1,0.86,0,Testing Prompt: 0.4748943880604638,zero-shot
