record_id,Scorer Name,Goal Orientation,Confidence Score for Goal Orientation,Engagement with Evidence,Confidence Score for Engagement with Evidence,Collaborative Decision-Making,Confidence Score for Collaborative Decision-Making,Strategic Planning,Confidence Score for Strategic Planning,Cultural Responsiveness,Parent/Community Engagement,Academic Achievement,Candidate Experience/Expertise,Evaluation,School Culture Fit,call_number,prompt_name,Confidence Score for Cultural Responsiveness,Confidence Score for Parent/Community Engagement,Confidence Score for Academic Achievement,Confidence Score for Candidate Experience/Expertise,Confidence Score for Evaluation,Confidence Score for School Culture Fit,codebook_type
545047,gpt-4.1-mini,2,0.85,3,0.85,3,0.8,2,0.8,0,0,0,1,0,0,0,Testing Prompt: 0.5825281526644812,,,,,,,cot
503131,gpt-4.1-mini,3,0.85,4,0.9,1,0.75,2,0.75,0,0,0,0,0,1,0,Testing Prompt: 0.5825281526644812,,,,,,,cot
211179,gpt-4.1-mini,2,0.75,1,0.7,1,0.7,1,0.7,0,0,0,1,0,0,0,Testing Prompt: 0.5825281526644812,,,,,,,cot
253693,gpt-4.1-mini,4,0.95,4,0.95,4,0.95,4,0.95,0,0,0,0,1,1,0,Testing Prompt: 0.5825281526644812,,,,,,,cot
247482,gpt-4.1-mini,3,0.9,3,0.85,3,0.9,3,0.85,0,0,1,1,1,1,0,Testing Prompt: 0.5825281526644812,,,,,,,cot
530371,gpt-4.1-mini,4,0.95,4,0.95,1,0.7,4,0.95,0,0,1,1,0,0,0,Testing Prompt: 0.5825281526644812,,,,,,,cot
208682,gpt-4.1-mini,3,0.9,3,0.85,4,0.9,3,0.85,0,0,1,1,0,1,0,Testing Prompt: 0.5825281526644812,,,,,,,cot
564167,gpt-4.1-mini,3,0.9,4,0.9,2,0.8,3,0.9,1,0,1,1,1,0,0,Testing Prompt: 0.5825281526644812,,,,,,,cot
225577,gpt-4.1-mini,3,0.85,3,0.9,3,0.85,3,0.85,0,0,0,0,1,1,0,Testing Prompt: 0.5825281526644812,0.8,0.8,0.75,0.75,0.8,0.85,cot
217400,gpt-4.1-mini,2,0.8,1,0.7,1,0.7,2,0.75,0,0,0,0,0,1,0,Testing Prompt: 0.5825281526644812,0.8,0.7,0.7,0.7,0.7,0.8,cot
580333,gpt-4.1-mini,2,0.85,1,0.7,1,0.75,1,0.7,0,0,0,0,0,1,0,Testing Prompt: 0.5825281526644812,0.75,0.7,0.7,0.7,0.7,0.85,cot
257325,gpt-4.1-mini,3,0.9,4,0.95,4,0.95,3,0.9,0,0,0,0,0,1,0,Testing Prompt: 0.5825281526644812,0.8,0.8,0.75,0.75,0.7,0.9,cot
704896,gpt-4.1-mini,2,0.8,1,0.7,0,0.65,2,0.7,0,0,0,1,0,0,0,Testing Prompt: 0.5825281526644812,0.7,0.7,0.7,0.8,0.65,0.65,cot
505173,gpt-4.1-mini,4,0.95,3,0.9,4,0.95,4,0.95,0,0,0,0,1,1,0,Testing Prompt: 0.5825281526644812,0.8,0.75,0.75,0.75,0.9,0.9,cot
511739,gpt-4.1-mini,1,0.75,1,0.7,0,0.65,1,0.7,0,0,0,0,0,1,0,Testing Prompt: 0.5825281526644812,0.7,0.7,0.7,0.7,0.7,0.8,cot
641013,gpt-4.1-mini,3,0.9,3,0.9,3,0.9,3,0.9,0,0,0,0,0,1,0,Testing Prompt: 0.5825281526644812,0.8,0.8,0.75,0.75,0.7,0.85,cot
512243,gpt-4.1-mini,2,0.9,2,0.85,3,0.9,2,0.85,0,1,0,0,0,1,0,Testing Prompt: 0.5825281526644812,,,,,,,cot
644531,gpt-4.1-mini,3,0.92,3,0.9,4,0.95,3,0.9,0,0,0,1,0,1,0,Testing Prompt: 0.5825281526644812,,,,,,,cot
240687,gpt-4.1-mini,2,0.8,3,0.85,1,0.75,2,0.8,0,0,1,1,0,0,0,Testing Prompt: 0.5825281526644812,,,,,,,cot
506571,gpt-4.1-mini,3,0.9,3,0.9,1,0.8,3,0.9,0,0,1,1,0,0,0,Testing Prompt: 0.5825281526644812,,,,,,,cot
264262,gpt-4.1-mini,2,0.7,1,0.7,1,0.7,2,0.7,0,0,0,0,0,0,0,Testing Prompt: 0.5825281526644812,,,,,,,cot
