record_id,Scorer Name,Goal Orientation,Engagement with Evidence,Collaborative Decision-Making,Strategic Planning,Cultural Responsiveness,Parent/Community Engagement,Academic Achievement,Candidate Experience/Expertise,Evaluation,School Culture Fit,call_number,prompt_name
717614,gpt-4.1-mini,2,1,1,1,0,0,0,0,0,0,0,Testing Prompt: 0.8291980120626296
274347,gpt-4.1-mini,4,4,4,4,0,0,1,0,0,0,0,Testing Prompt: 0.8291980120626296
641013,gpt-4.1-mini,3,2,1,2,0,0,0,0,0,1,0,Testing Prompt: 0.8291980120626296
211283,gpt-4.1-mini,3,3,3,4,0,0,0,0,0,0,0,Testing Prompt: 0.8291980120626296
700128,gpt-4.1-mini,2,1,3,2,0,1,0,0,0,1,0,Testing Prompt: 0.8291980120626296
545047,gpt-4.1-mini,3,1,2,3,0,0,1,1,0,0,0,Testing Prompt: 0.8291980120626296
231173,gpt-4.1-mini,4,4,3,4,0,0,1,0,1,0,0,Testing Prompt: 0.8291980120626296
215108,gpt-4.1-mini,4,4,3,4,0,0,1,1,1,0,0,Testing Prompt: 0.8291980120626296
630563,gpt-4.1-mini,2,3,3,2,0,0,0,0,0,0,0,Testing Prompt: 0.8291980120626296
511739,gpt-4.1-mini,2,1,1,1,0,0,0,0,0,1,0,Testing Prompt: 0.8291980120626296
704896,gpt-4.1-mini,3,2,1,3,0,0,1,1,0,0,0,Testing Prompt: 0.8291980120626296
584423,gpt-4.1-mini,3,3,3,2,0,0,0,0,0,0,0,Testing Prompt: 0.8291980120626296
247482,gpt-4.1-mini,4,3,4,4,0,0,1,1,1,0,0,Testing Prompt: 0.8291980120626296
238025,gpt-4.1-mini,4,4,4,4,0,0,1,1,1,1,0,Testing Prompt: 0.8291980120626296
238271,gpt-4.1-mini,4,2,4,3,0,0,1,0,0,1,0,Testing Prompt: 0.8291980120626296
600997,gpt-4.1-mini,4,4,1,4,0,0,1,1,1,1,0,Testing Prompt: 0.8291980120626296
534553,gpt-4.1-mini,3,1,1,3,0,0,1,0,0,0,0,Testing Prompt: 0.8291980120626296
558582,gpt-4.1-mini,1,1,3,1,0,0,0,0,0,1,0,Testing Prompt: 0.8291980120626296
543229,gpt-4.1-mini,4,3,3,4,0,0,1,0,0,0,0,Testing Prompt: 0.8291980120626296
195235,gpt-4.1-mini,3,3,3,2,0,0,1,0,0,1,0,Testing Prompt: 0.8291980120626296
615578,gpt-4.1-mini,4,3,4,4,1,0,1,1,1,1,0,Testing Prompt: 0.8291980120626296
581720,gpt-4.1-mini,4,3,3,4,1,0,1,0,1,1,0,Testing Prompt: 0.8291980120626296
512243,gpt-4.1-mini,2,2,3,2,0,0,0,0,0,0,0,Testing Prompt: 0.8291980120626296
529099,gpt-4.1-mini,2,2,2,2,0,0,0,0,0,0,0,Testing Prompt: 0.8291980120626296
174997,gpt-4.1-mini,2,1,1,2,0,0,0,0,0,0,0,Testing Prompt: 0.8291980120626296
643006,gpt-4.1-mini,3,3,2,3,0,0,1,1,0,1,0,Testing Prompt: 0.8291980120626296
219176,gpt-4.1-mini,4,3,3,4,0,0,1,1,0,0,0,Testing Prompt: 0.8291980120626296
555531,gpt-4.1-mini,2,2,1,2,0,0,0,0,1,0,0,Testing Prompt: 0.8291980120626296
556668,gpt-4.1-mini,2,2,4,2,0,0,0,0,1,0,0,Testing Prompt: 0.8291980120626296
601747,gpt-4.1-mini,1,1,1,1,0,0,0,0,0,0,0,Testing Prompt: 0.8291980120626296
232366,gpt-4.1-mini,3,3,1,3,0,0,1,0,0,0,0,Testing Prompt: 0.8291980120626296
184927,gpt-4.1-mini,4,3,3,4,1,0,1,1,0,1,0,Testing Prompt: 0.8291980120626296
215179,gpt-4.1-mini,2,1,2,2,0,0,0,0,0,1,0,Testing Prompt: 0.8291980120626296
249730,gpt-4.1-mini,2,1,1,2,0,0,0,0,0,0,0,Testing Prompt: 0.8291980120626296
543094,gpt-4.1-mini,3,3,3,3,0,0,1,0,0,1,0,Testing Prompt: 0.8291980120626296
505194,gpt-4.1-mini,4,3,3,4,0,0,1,0,0,0,0,Testing Prompt: 0.8291980120626296
207524,gpt-4.1-mini,2,2,1,2,0,0,1,0,0,0,0,Testing Prompt: 0.8291980120626296
207845,gpt-4.1-mini,4,3,3,3,1,0,0,0,0,1,0,Testing Prompt: 0.8291980120626296
613961,gpt-4.1-mini,4,2,3,4,0,0,1,0,0,1,0,Testing Prompt: 0.8291980120626296
528543,gpt-4.1-mini,3,2,1,3,1,0,0,0,0,1,0,Testing Prompt: 0.8291980120626296
546578,gpt-4.1-mini,2,1,1,1,0,0,1,0,0,0,0,Testing Prompt: 0.8291980120626296
211179,gpt-4.1-mini,1,2,1,1,0,0,1,1,0,0,0,Testing Prompt: 0.8291980120626296
546868,gpt-4.1-mini,3,2,1,2,0,0,0,0,0,0,0,Testing Prompt: 0.8291980120626296
588075,gpt-4.1-mini,2,1,3,2,0,0,0,0,0,0,0,Testing Prompt: 0.8291980120626296
172253,gpt-4.1-mini,3,2,4,2,0,0,0,0,0,1,0,Testing Prompt: 0.8291980120626296
525710,gpt-4.1-mini,4,4,3,4,0,0,1,1,1,1,0,Testing Prompt: 0.8291980120626296
190056,gpt-4.1-mini,2,1,1,1,1,0,0,0,0,0,0,Testing Prompt: 0.8291980120626296
263413,gpt-4.1-mini,4,4,1,4,0,0,1,0,0,1,0,Testing Prompt: 0.8291980120626296
561983,gpt-4.1-mini,4,1,1,3,1,0,1,1,1,1,0,Testing Prompt: 0.8291980120626296
591948,gpt-4.1-mini,3,4,1,2,0,0,0,0,0,1,0,Testing Prompt: 0.8291980120626296
200051,gpt-4.1-mini,3,1,1,3,0,0,1,1,0,0,0,Testing Prompt: 0.8291980120626296
585389,gpt-4.1-mini,3,1,4,3,0,0,0,0,1,0,0,Testing Prompt: 0.8291980120626296
706907,gpt-4.1-mini,2,1,1,2,0,0,1,0,1,0,0,Testing Prompt: 0.8291980120626296
576254,gpt-4.1-mini,2,1,1,2,0,0,0,0,0,0,0,Testing Prompt: 0.8291980120626296
263864,gpt-4.1-mini,4,3,1,4,0,0,1,0,0,1,0,Testing Prompt: 0.8291980120626296
573597,gpt-4.1-mini,4,1,1,3,0,0,1,0,0,1,0,Testing Prompt: 0.8291980120626296
293411,gpt-4.1-mini,2,1,1,1,1,0,0,0,0,0,0,Testing Prompt: 0.8291980120626296
257040,gpt-4.1-mini,3,1,4,3,0,1,1,0,0,0,0,Testing Prompt: 0.8291980120626296
503131,gpt-4.1-mini,2,3,1,2,0,0,0,0,0,1,0,Testing Prompt: 0.8291980120626296
248731,gpt-4.1-mini,3,3,4,3,0,0,0,0,0,0,0,Testing Prompt: 0.8291980120626296
607920,gpt-4.1-mini,2,1,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.8291980120626296
561604,gpt-4.1-mini,2,2,1,2,0,0,1,1,0,0,0,Testing Prompt: 0.8291980120626296
564167,gpt-4.1-mini,3,3,3,3,1,0,1,1,1,1,0,Testing Prompt: 0.8291980120626296
264344,gpt-4.1-mini,3,1,1,3,0,0,1,0,0,1,0,Testing Prompt: 0.8291980120626296
704786,gpt-4.1-mini,2,3,1,2,0,0,1,1,0,0,0,Testing Prompt: 0.8291980120626296
505173,gpt-4.1-mini,4,2,4,4,0,0,1,0,1,1,0,Testing Prompt: 0.8291980120626296
242166,gpt-4.1-mini,2,1,4,2,0,0,0,0,0,1,0,Testing Prompt: 0.8291980120626296
550903,gpt-4.1-mini,4,3,4,4,0,1,1,1,1,1,0,Testing Prompt: 0.8291980120626296
208682,gpt-4.1-mini,3,1,4,3,0,0,1,1,0,1,0,Testing Prompt: 0.8291980120626296
640700,gpt-4.1-mini,3,3,1,3,0,0,1,1,0,0,0,Testing Prompt: 0.8291980120626296
248235,gpt-4.1-mini,4,4,4,4,1,0,1,1,1,1,0,Testing Prompt: 0.8291980120626296
225646,gpt-4.1-mini,3,1,1,3,0,0,1,1,0,1,0,Testing Prompt: 0.8291980120626296
524784,gpt-4.1-mini,4,1,1,4,0,0,1,0,0,1,0,Testing Prompt: 0.8291980120626296
244029,gpt-4.1-mini,4,4,1,4,0,0,1,0,0,1,0,Testing Prompt: 0.8291980120626296
628747,gpt-4.1-mini,3,1,1,2,0,0,0,0,0,1,0,Testing Prompt: 0.8291980120626296
586617,gpt-4.1-mini,4,1,4,3,0,0,1,1,1,1,0,Testing Prompt: 0.8291980120626296
242085,gpt-4.1-mini,4,1,1,3,0,0,1,1,0,1,0,Testing Prompt: 0.8291980120626296
601728,gpt-4.1-mini,2,2,2,2,0,0,1,0,0,0,0,Testing Prompt: 0.8291980120626296
580333,gpt-4.1-mini,3,1,1,2,0,1,0,0,0,1,0,Testing Prompt: 0.8291980120626296
282284,gpt-4.1-mini,3,1,1,2,0,0,0,0,0,1,0,Testing Prompt: 0.8291980120626296
264262,gpt-4.1-mini,2,1,1,2,0,0,0,0,0,0,0,Testing Prompt: 0.8291980120626296
225577,gpt-4.1-mini,3,3,3,3,0,0,1,0,1,0,0,Testing Prompt: 0.8291980120626296
534868,gpt-4.1-mini,2,1,1,1,0,0,0,0,0,1,0,Testing Prompt: 0.8291980120626296
218810,gpt-4.1-mini,2,1,1,2,0,0,0,1,0,0,0,Testing Prompt: 0.8291980120626296
225581,gpt-4.1-mini,4,4,4,4,1,0,1,1,0,1,0,Testing Prompt: 0.8291980120626296
264478,gpt-4.1-mini,3,3,4,3,0,0,0,0,0,0,0,Testing Prompt: 0.8291980120626296
530371,gpt-4.1-mini,4,4,2,4,0,0,1,1,0,0,0,Testing Prompt: 0.8291980120626296
644531,gpt-4.1-mini,3,3,3,3,0,0,0,0,0,1,0,Testing Prompt: 0.8291980120626296
291285,gpt-4.1-mini,3,4,4,4,0,0,1,0,0,1,0,Testing Prompt: 0.8291980120626296
248896,gpt-4.1-mini,2,3,2,2,0,0,0,0,0,0,0,Testing Prompt: 0.8291980120626296
735055,gpt-4.1-mini,4,3,3,4,0,0,0,0,0,1,0,Testing Prompt: 0.8291980120626296
529141,gpt-4.1-mini,1,1,2,1,0,0,0,0,0,0,0,Testing Prompt: 0.8291980120626296
217052,gpt-4.1-mini,3,1,1,2,0,1,0,0,0,1,0,Testing Prompt: 0.8291980120626296
613126,gpt-4.1-mini,4,4,3,4,0,0,1,0,0,0,0,Testing Prompt: 0.8291980120626296
188529,gpt-4.1-mini,3,3,2,3,0,0,1,0,1,0,0,Testing Prompt: 0.8291980120626296
551252,gpt-4.1-mini,3,4,3,4,1,1,1,0,1,1,0,Testing Prompt: 0.8291980120626296
703584,gpt-4.1-mini,4,2,1,2,0,0,1,0,0,1,0,Testing Prompt: 0.8291980120626296
257325,gpt-4.1-mini,3,3,4,3,0,0,0,0,0,1,0,Testing Prompt: 0.8291980120626296
247781,gpt-4.1-mini,3,3,2,3,0,0,0,0,0,1,0,Testing Prompt: 0.8291980120626296
226773,gpt-4.1-mini,3,3,3,3,0,0,0,0,1,1,0,Testing Prompt: 0.8291980120626296
216965,gpt-4.1-mini,2,3,3,3,0,0,1,0,0,1,0,Testing Prompt: 0.8291980120626296
614816,gpt-4.1-mini,3,3,4,4,0,0,0,0,1,0,0,Testing Prompt: 0.8291980120626296
600843,gpt-4.1-mini,2,2,2,2,0,1,0,1,0,0,0,Testing Prompt: 0.8291980120626296
506571,gpt-4.1-mini,3,2,1,3,0,0,1,1,0,0,0,Testing Prompt: 0.8291980120626296
575601,gpt-4.1-mini,2,3,2,2,0,0,1,0,0,1,0,Testing Prompt: 0.8291980120626296
266177,gpt-4.1-mini,4,1,4,4,0,0,0,0,0,0,0,Testing Prompt: 0.8291980120626296
590085,gpt-4.1-mini,3,3,1,3,0,0,1,1,1,0,0,Testing Prompt: 0.8291980120626296
632387,gpt-4.1-mini,2,2,1,2,0,1,0,0,0,0,0,Testing Prompt: 0.8291980120626296
253693,gpt-4.1-mini,4,3,4,4,0,1,1,0,1,1,0,Testing Prompt: 0.8291980120626296
557524,gpt-4.1-mini,2,2,1,2,0,0,0,1,0,0,0,Testing Prompt: 0.8291980120626296
240687,gpt-4.1-mini,2,3,1,2,0,0,1,0,1,0,0,Testing Prompt: 0.8291980120626296
217400,gpt-4.1-mini,3,1,1,3,0,0,0,0,0,0,0,Testing Prompt: 0.8291980120626296
167524,gpt-4.1-mini,3,1,4,3,0,0,0,0,0,1,0,Testing Prompt: 0.8291980120626296
706907,gpt-4.1-mini,2,2,2,2,0,0,1,1,1,1,1,Testing Prompt: 0.0822867126619532
586617,gpt-4.1-mini,3,4,4,4,0,0,1,1,0,1,1,Testing Prompt: 0.0822867126619532
600843,gpt-4.1-mini,2,2,3,2,0,0,0,1,0,1,1,Testing Prompt: 0.0822867126619532
211179,gpt-4.1-mini,2,2,1,2,0,0,1,1,0,0,1,Testing Prompt: 0.0822867126619532
585389,gpt-4.1-mini,2,2,4,3,0,0,0,0,1,1,1,Testing Prompt: 0.0822867126619532
525710,gpt-4.1-mini,4,4,3,4,0,0,1,1,1,1,1,Testing Prompt: 0.0822867126619532
557524,gpt-4.1-mini,2,2,1,2,0,0,0,1,0,0,1,Testing Prompt: 0.0822867126619532
601747,gpt-4.1-mini,1,1,1,1,0,0,0,0,0,0,1,Testing Prompt: 0.0822867126619532
614816,gpt-4.1-mini,4,3,4,4,0,0,0,0,0,0,1,Testing Prompt: 0.0822867126619532
550903,gpt-4.1-mini,4,4,4,4,0,0,1,0,1,0,1,Testing Prompt: 0.0822867126619532
195235,gpt-4.1-mini,2,2,3,2,0,0,1,0,0,0,1,Testing Prompt: 0.0822867126619532
190056,gpt-4.1-mini,2,2,3,2,0,0,1,0,0,0,1,Testing Prompt: 0.0822867126619532
293411,gpt-4.1-mini,3,3,4,3,1,0,1,0,0,0,1,Testing Prompt: 0.0822867126619532
184927,gpt-4.1-mini,4,4,3,4,0,0,1,1,0,1,1,Testing Prompt: 0.0822867126619532
575601,gpt-4.1-mini,3,3,2,3,0,0,0,0,0,0,1,Testing Prompt: 0.0822867126619532
291285,gpt-4.1-mini,4,3,4,4,0,0,1,0,0,1,1,Testing Prompt: 0.0822867126619532
703584,gpt-4.1-mini,3,3,1,3,0,0,1,0,0,1,1,Testing Prompt: 0.0822867126619532
218810,gpt-4.1-mini,2,2,2,2,0,0,0,0,0,0,1,Testing Prompt: 0.0822867126619532
641013,gpt-4.1-mini,3,3,3,3,0,0,0,0,0,0,1,Testing Prompt: 0.0822867126619532
704786,gpt-4.1-mini,3,3,1,3,0,0,1,1,0,0,1,Testing Prompt: 0.0822867126619532
225577,gpt-4.1-mini,2,1,2,2,0,0,0,0,0,0,1,Testing Prompt: 0.0822867126619532
503131,gpt-4.1-mini,2,3,1,2,0,0,0,0,0,0,1,Testing Prompt: 0.0822867126619532
215179,gpt-4.1-mini,2,1,1,1,0,0,0,0,0,1,1,Testing Prompt: 0.0822867126619532
167524,gpt-4.1-mini,3,1,2,2,0,0,0,0,0,1,1,Testing Prompt: 0.0822867126619532
282284,gpt-4.1-mini,3,3,1,2,0,0,0,0,0,1,1,Testing Prompt: 0.0822867126619532
215108,gpt-4.1-mini,4,3,3,4,0,0,1,1,1,1,1,Testing Prompt: 0.0822867126619532
600997,gpt-4.1-mini,3,3,1,3,0,0,1,0,1,1,1,Testing Prompt: 0.0822867126619532
248731,gpt-4.1-mini,2,1,3,2,0,0,0,0,0,0,1,Testing Prompt: 0.0822867126619532
172253,gpt-4.1-mini,3,3,4,2,0,0,0,0,0,1,1,Testing Prompt: 0.0822867126619532
615578,gpt-4.1-mini,4,3,4,4,1,0,1,1,1,1,1,Testing Prompt: 0.0822867126619532
264344,gpt-4.1-mini,3,1,1,3,0,0,1,0,0,1,1,Testing Prompt: 0.0822867126619532
238025,gpt-4.1-mini,4,3,1,4,1,0,1,1,0,1,1,Testing Prompt: 0.0822867126619532
505194,gpt-4.1-mini,3,3,3,3,0,0,0,0,0,1,1,Testing Prompt: 0.0822867126619532
717614,gpt-4.1-mini,2,1,2,1,0,0,0,0,0,0,1,Testing Prompt: 0.0822867126619532
555531,gpt-4.1-mini,2,1,1,2,0,0,0,0,1,1,1,Testing Prompt: 0.0822867126619532
601728,gpt-4.1-mini,2,3,1,3,0,0,0,0,0,0,1,Testing Prompt: 0.0822867126619532
558582,gpt-4.1-mini,1,1,3,1,0,0,0,0,0,0,1,Testing Prompt: 0.0822867126619532
607920,gpt-4.1-mini,2,1,3,1,0,0,0,0,0,1,1,Testing Prompt: 0.0822867126619532
208682,gpt-4.1-mini,3,1,4,2,0,0,1,1,0,1,1,Testing Prompt: 0.0822867126619532
253693,gpt-4.1-mini,4,1,4,4,0,0,1,0,1,1,1,Testing Prompt: 0.0822867126619532
534553,gpt-4.1-mini,2,2,1,2,0,0,1,1,0,0,1,Testing Prompt: 0.0822867126619532
543229,gpt-4.1-mini,3,2,1,3,0,0,0,0,0,0,1,Testing Prompt: 0.0822867126619532
551252,gpt-4.1-mini,3,2,4,4,0,1,0,1,1,1,1,Testing Prompt: 0.0822867126619532
628747,gpt-4.1-mini,3,1,1,2,0,0,0,0,0,0,1,Testing Prompt: 0.0822867126619532
249730,gpt-4.1-mini,2,2,1,1,0,0,0,0,0,0,1,Testing Prompt: 0.0822867126619532
735055,gpt-4.1-mini,4,3,3,4,0,1,0,0,1,1,1,Testing Prompt: 0.0822867126619532
546578,gpt-4.1-mini,3,1,1,2,0,0,1,0,0,0,1,Testing Prompt: 0.0822867126619532
630563,gpt-4.1-mini,3,3,3,2,0,0,0,0,0,0,1,Testing Prompt: 0.0822867126619532
588075,gpt-4.1-mini,3,1,3,3,0,0,0,0,0,0,1,Testing Prompt: 0.0822867126619532
